Title,Description
U.S. Companies Plan to Continue Hiring,"More American companies expect to add jobs in the fourth quarter than a year ago, even as they remain cautious about hiring, a new survey said."
Alcoa to Declare Force Majeure,Aluminum producer Alcoa Inc. on Tuesday said it plans to declare force majeure to its customers because of a temporary shutdown of its alumina plant in Jamaica and damage to its seaport from Hurricane Ivan 
OPEC Members Split on Increasing Output,"VIENNA, Austria - Members of the Organization of Petroleum Exporting Countries were divided Tuesday on whether output should be increased in a bid to boost global supply that might cause prices to drop."
OPEC Weighs Output Increase,Members of the Organization of Petroleum Exporting Countries were divided Tuesday on whether output should be increased in a bid to boost global supply that might cause prices to drop.
2007 target for digital TV switch,"The UK's switch to digital television could begin as soon as 2007, according the media watchdog Ofcom."
Coming Soon: Mobile TV,Cell phone manufacturers are teaming up to bring mobile television to your handset.
Russia to take control of gas giant Gazprom,"MOSCOW : Russia moved to bolster its role in the strategic energy sector as gas giant Gazprom said it would acquire state oil firm Rosneft, handing the government control of the world #39;s largest gas producer."
UPDATE 2-Real estate carries Intrawest back to profit,"Ski resort developer Intrawest Corp. (ITW.TO: Quote, Profile, Research) (IDR.N: Quote, Profile, Research) jumped back into profit in the fourth quarter on greater contributions "
"Checking In, Sir? (Forbes.com)","Forbes.com - This year Andrew Harper's Hideaway Report celebrates 25 years of grand deception. The popular newsletter's creator and editor in chief, whose real name is known but to God (and his wife), has paid his own way at thousands of hotels worldwide and published his impressions without fear or favor. We recently met him at a secure location in downtown Manhattan."
Direction-Free Data Sends Treasuries Down," NEW YORK (Reuters) - Treasury debt prices ticked lower on  Tuesday in a classic ""buy-the-rumor, sell-the-fact"" reaction as  a reading on U.S. retail consumption proved not as weak as some  in the market had been betting."
Saudis balk at quota increase,"No. 1 exporter pledges to hold production levels but is wary of boosting quotas and glutting market. VIENNA (Reuters) - OPEC is keeping its foot on the production pedal in a bid to drag down oil prices, but "
Sendo ends legal dispute with Microsoft,UK mobile handset manufacturer Sendo has ended a long legal wrangle with US software company Microsoft through an out-of-court settlement.
Proxim and Symbol make nice,"com September 14, 2004, 9:12 AM PT. With the economy slowly turning up, upgrading hardware has been on businesses radar in the past 12 months as their number two priority."
Alcoa restarts Jamaica plant but suspends contracts,Alcoa Inc. is restarting its Jamalco alumina refinery in Jamaica after the plant escaped serious damage from Hurricane Ivan. But Alcoa said damage elsewhere in the country was leading it to declare force majeure on supply contracts.
Office Depot cuts profit forecast,Office Depot Inc. warned Tuesday of weaker-than-expected profits for the rest of the year because of disruptions from the string of hurricanes in Florida and poor sales in the rest of North America and in Europe.
Ivan Crimps Jamaican Alumina Production,"Production at several alumina refineries in Jamaica has been reduced and shipments slowed due to damage caused by Hurricane Ivan, which battered the island over the weekend, several companies said Tuesday."
"Stocks Near Flat, Worry Over Oil Spike"," NEW YORK (Reuters) - U.S. stocks were little changed on  Tuesday as investors worried corporate profits would be hurt by  rising oil prices, driven higher as Hurricane Ivan threatened  to disrupt oil production."
Ivan Crimps Jamaican Alumina Production," NEW YORK (Reuters) - Production at several alumina  refineries in Jamaica has been reduced and shipments slowed due  to damage caused by Hurricane Ivan, which battered the island  over the weekend, several companies said Tuesday."
Poor weather hits US shoppers,US retail sales fell 0.3 in August as rising energy costs and bad weather persuaded shoppers to reduce their spending.
Proxim settles patent lawsuit with Symbol,"SEPTEMBER 14, 2004 (COMPUTERWORLD) - Wireless networking provider Proxim Corp., today announced that it has reached a settlement agreement with Symbol Technologies Inc."
Putin backs Gazprom shares deal,Russian president Vladimir Putin has backed plans to end restrictions on the foreign ownership of shares in Russian energy giant Gazprom.
Yahoo Flexes Its Music Muscle,The internet's most heavily trafficked site is muscling in on the online music sector through its acquisition of Musicmatch in a \$160 million deal announced Tuesday.
WPP #39;s Mega Ad Buy,"What are weekends for? In the mergers and acquisitions game, it is usually meant for structuring mega deals. That was the case with WPP Group #39;s (Nasdaq: WPPGY) \$1."
Oracle Eyes PeopleSoft as Meat on the Hoof,"Opinion: According to its president, Oracle has a clear idea of how it #39;s going to slice up PeopleSoft to retain the choicest assets and send the rest to the corporate rendering yard."
Sony Close to Acquiring MGM,"The planned \$3 billion deal would give Sony a library of more than 4,100 titles. Also: Vivendi says its recovery is almost complete, despite large losses   hellip;. Canon and Toshiba team up to produce next-generation flat display panels   hellip;. and more."
UPDATE 1-McDonald #39;s boosts annual dividend 38 pct,"McDonald #39;s Corp. (MCD.N: Quote, Profile, Research) on Tuesday raised its annual dividend by 38 percent, a move the world #39;s largest restaurant chain said is another sign of its revitalization."
Verdict favors World Trade Center leaseholder,"Real estate developer Larry Silverstein, who envisions replacing all the commercial office space destroyed in the September 11, 2001, terrorist attack on the World Trade Center, won a court victory Monday that may help him do so."
"Charles Schwab Corp. to Pay \$350,000 Fine"," NEW YORK (Reuters) - Charles Schwab Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SCH.N target=/stocks/quickinfo/fullquote""&gt;SCH.N&lt;/A&gt; on  Tuesday said it had agreed to pay a fine of \$350,000 to settle  SEC enforcement proceedings related to the processing of mutual  fund orders."
Hurricane Ivan blows price of oil higher,US crude leapt about \$1.50-a-barrel yesterday as petroleum giants evacuated thousands of workers from the Gulf of Mexico ahead of Hurricane Ivan.
Weinsteins look to stay with Disney,"The brothers who founded and run Disney Corp. #39;s Miramax Films unit are sticking together, The New York Post is reporting. Harvey and Bob Weinstein now hope to work things with out with Disney, and stay within the Disney fold, the report stated."
Sony Close to Acquiring MGM,"Sony is a step closer to acquiring famed Hollywood studio Metro-Goldwyn-Mayer in a \$3 billion deal that would give it a considerable library of more than 4,100 titles."
Lazarus Disappearing From Western Pa.,Federated Department Stores says its regional chains will begin operating under the Macy #39;s name in January. Do you think changing the names of Federated stores to Macy #39;s is a good idea?
Kroger #39;s 2Q Earnings Drop Almost \$50M,"CINCINNATI Sept. 14, 2004 - The Kroger Co., one of the nation #39;s largest operators of supermarkets, reported Tuesday that its second-quarter earnings fell almost \$50 million from a year ago, hurt by debt charges and the southern California strike."
"Charles Schwab fined \$350,000","Charles Schwab Corp. said Tuesday it has agreed to pay a fine of \$350,000 related to the processing of certain mutual fund orders."
Sun trims fourth-quarter earnings by \$12M,"SEPTEMBER 14, 2004 (IDG NEWS SERVICE) - Sun Microsystems Inc. trimmed its fourth-quarter and full-year 2004 results this week to incorporate the final accounting of asset retirement obligations and its settlement with Microsoft Corp."
USA: Kroger reports lower Q2 earnings,"US grocery retailer Kroger has reported lower second-quarter net earnings, hit by the early redemption of debt and the continuing after-effects of the labour dispute in Southern California."
"Symbol Tech, Proxim Settle Lawsuit","Hand-held computer and scanner maker Symbol Technologies Inc. and wireless network equipment maker Proxim Corp. settled their patent dispute, the companies said Tuesday."
NASD Says Do Your Homework On 529 Plans,"NEW YORK - The NASD urges investors to do their homework before buying a 529 College Savings Plan. Fees, expenses, tax incentives and returns vary from state to state, and investors therefore should look for "
Tech stocks lead the way,"WALL Street #39;s broad market indicators ended nearly flat today after an early rally attempt ran out of steam, but tech stocks held on for solid gains."
Allied Waste lowers earnings forecast a second time,Shares of Allied Waste Industries Inc. opened lower Tuesday following another pullback in earnings expectations. The Scottsdale-based waste hauler Tuesday cut its 2004 earnings forecast for the second time 
Hurricanes Hurt Office Depot's Profit," CHICAGO (Reuters) - Office Depot Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ODP.N target=/stocks/quickinfo/fullquote""&gt;ODP.N&lt;/A&gt; on Tuesday  warned that profit for the rest of the year would fall short of  forecasts because of the string of hurricanes in Florida and  poor sales elsewhere, sending its stock down 6.5 percent."
"Kroger Profit Falls, Warns on Sales"," NEW YORK (Reuters) - Kroger Co. on Tuesday posted a 25  percent drop in quarterly profit and warned it may miss a key  2004 sales target because of lingering woes from a Southern  California strike, sending its shares down sharply."
Dollar Slips on Current Account Deficit, NEW YORK (Reuters) - The dollar was on the defensive on  Tuesday as data showing the U.S. current account deficit  ballooned to a new record in the second quarter put further  downward pressure on the U.S. currency.
"KLM, Northwest And Continental Join Skyteam Alliance","NEW YORK, Sept 13 (AFP) - The Skyteam airline alliance announced Monday that Dutch airline KLM and US carriers Northwest and Continental will join from Wednesday, making it the second biggest in the world behind the Star Alliance."
Grocer Takes a Tumble,Labor problems and debt retirement contribute to Kroger's second-quarter slip.
Economy-Stock Market Link Can Be Confusing (AP),AP - The link between the stock market and the economy sometimes can sound like the chicken and the egg scenario  #151; Which comes first?
"Schwab Paying  #36;350,000 Fine in Settlement (AP)","AP - Brokerage Charles Schwab  amp; Co. has agreed to pay a  #36;350,000 civil fine to settle federal regulators' allegations that it illegally allowed certain customers to change mutual fund trade orders after the market's close."
Experts Link Some Drugs to Teen Suicide," BETHESDA, Md. (Reuters) - The use of some antidepressant  drugs appears linked to an increase in suicidal behavior in  some children and teen-agers, a U.S. advisory panel concluded  on Tuesday."
Office Depot Misses School,"Hurricanes, weak back-to-school sales, and weak European business bring an earnings warning."
Iraq Pledges to Improve Oil Security,The man in charge of Iraq #39;s massive oil sector promised to better protect infrastructure critical to production and exports as saboteurs underscored the difficulty of that task by blowing up a pipeline junction in northern Iraq.
"Schwab Paying \$350,000 Fine in Settlement","Brokerage Charles Schwab  amp; Co. has agreed to pay a \$350,000 civil fine to settle federal regulators #39; allegations that it illegally allowed certain customers to change mutual fund trade orders after the market #39;s close."
WPP wins  #39;750m #39; US takeover bid,"Advertising giant WPP is to buy US firm Grey Global, in a deal which could be worth as much as 750m (\$1.3bn). The UK-based group won the auction for Grey Global, the seventh-largest advertiser in the US, against "
Vivendi losses surge,"PARIS, Sept 14 (AFP) - French media giant Vivendi Universal on Tuesday reported a surge in its net loss so far this year but forecast a sharp turnaround in its finances for all of 2004."
"Continental, KLM, NWA join SkyTeam","Continental Airlines, KLM Royal Dutch Airlines and Northwest Airlines Corp. have joined the SkyTeam Airline Alliance. This will allow passengers to accrue frequent flyer miles interchangeably "
Q2 #39;s current-account deficit widens to record \$166.2 bln,CHICAGO (CBS.MW) -- The dollar declined Tuesday following a Commerce Department report that showed a broad US measure of trade and investment flows swelled to a record deficit in the second quarter.
Smith Takes a Pounding,"AO Smith (NYSE: AOS), North America #39;s largest manufacturer of electric motors, shocked investors this morning by drastically reducing third-quarter earnings guidance to breakeven "
ALITALIA: AGREEMENT WITH PILOTS #39; UNION FALLS THROUGH,"(AGI) - Rome, Italy, Sep. 14 - Negotiations between Alitalia and the professional pilots #39; union have come to a dead end due to lack of agreement between ANPAC and Unione Piloti."
"Symbol, Proxim settle WLAN patent case",Symbol Technologies and Proxim Corporation said Tuesday (Sept. 14) that they have settled a patent infringement case focusing on wireless LAN (WLAN)technology.
Sony Buys MGM in \$12 per share deal,The Associated Press is reporting that film and television studio Metro-Goldwyn-Mayer Inc. has agreed to let itself be bought out by a consortium headed by Sony.
Intrawest enjoys strong finish to fiscal year,Vancouver #39;s Intrawest Corp. returned to profitability in its fourth-quarter results released Tuesday as stronger results from its management services and real estate development operations made up for a poor showing from its resort operations.
Experts Link Some Drugs to Teen Suicide (Reuters),"Reuters - The use of some antidepressant\drugs appears linked to an increase in suicidal behavior in\some children and teen-agers, a U.S. advisory panel concluded\on Tuesday."
"McDonald's Raises Dividend, Shares Climb"," LOS ANGELES (Reuters) - McDonald's Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MCD.N target=/stocks/quickinfo/fullquote""&gt;MCD.N&lt;/A&gt; on Tuesday  raised its annual dividend 38 percent, a move the world's  largest restaurant chain said is another sign of its  revitalization."
"Hurricane, Oil Worries Pressure Stocks", NEW YORK (Reuters) - U.S. stocks struggled to make gains on  Tuesday as oil prices rose and investors feared economic  fallout from Hurricane Ivan as it roared into the Gulf of  Mexico toward a possible landfall in the United States.
Sony Bags a Lion,Looks like Sony (NYSE: SNE) will have a lion #39;s head displayed proudly at its corporate offices. The Japanese electronics giant seems to have wrapped up the deal to purchase Metro-Goldwyn-Mayer (NYSE: MGM).
"Proxim, Symbol Settle Patent Dispute","After months of litigation, Proxim and Symbol Technologies have finally settled their legal spat. Proxim has agreed to pay \$22.75 million, plus a 2 percent royalty on future sales of certain products."
Second-guessing the Fed,"Has the economy #39;s  #39;soft patch #39; passed? Is inflation about to pop? The bond market doesn #39;t think so. By Mark Gongloff, CNN/Money senior writer."
S amp;P may cut Interpublic Group of Cos corp credit,"Standard  amp; Poor #39;s said on Tuesday it may cut the corporate credit rating of The Interpublic Group of Cos. (IPG.N: Quote, Profile, Research) citing growing concerns over senior "
Current Account Gap Weakens Dollar," NEW YORK (Reuters) - The dollar slipped on Tuesday, pushed  down by a report showing the U.S. current account deficit  ballooned to a new record in the second quarter."
Nine Antidepressants Raise Suicide Concern -Panel," BETHESDA, Md. (Reuters) - All nine antidepressants studied  by regulators raise concerns about a higher risk of suicidal  behavior in children and teens who take the drugs, a U.S.  advisory panel said on Tuesday."
"Schwab settles with SEC for \$350,000","SAN FRANCISCO (CBS.MW) -- Charles Schwab  amp; Co. agreed to pay \$350,000 to settle Securities and Exchange Commission charges that the discount broker allowed customers to trade mutual funds after hours, the company said Tuesday."
Vivendi Flashes V for Victory,"Vivendi (NYSE: V) is one of those complex behemoths of a firm that normally doesn #39;t make it onto my radar since, as a lazy Fool, I prefer my companies small and simple."
"Study: 400,000 IT jobs lost since 2001","The information technology industry lost 403,300 jobs from the start of the recession in March 2001 to April 2004, with nearly half of those jobs disappearing after the recession #39;s official end, according to a new study."
Business Outspends Gov #39;t When It Comes To Info-Tech Services,A Census Bureau survey says 60 of revenue for IT services came from business in 2Q. Agency buys accounted for just 37. By Eric Chabrow.
Atkins slims down in face of competition,"Atkins Nutritionals, the food company founded by the man behind the Atkins diet, is laying off workers and cutting costs in the face of mushrooming competition to supply low-carbohydrate foods."
Lazarus-Macy #39;s to become Macy #39;s,"Indianapolis, Sept. 14 - Starting in January you won #39;t be able to shop at a Lazarus-Macy #39;s store. Federated Department Stores plans to put all of its regional chains under its Macy #39;s brand name."
Oil Climbs as Hurricane Ivan Nears U.S.," NEW YORK (Reuters) - World oil prices rose on Tuesday as  Hurricane Ivan charged toward the oil-rich Gulf of Mexico,  where energy companies shut down refineries and offshore oil  rigs and evacuated thousands of workers."
Oil Company Mergers Hurt Consumers-Group," WASHINGTON (Reuters) - A series of major oil company  mergers in recent years have left U.S. households vulnerable to  higher gasoline and natural gas prices, the Consumer Federation  of America said on Tuesday."
U.S. Trade Gap Reached Record in 2nd Quarter,"The record trade deficit, a sign of the growing imbalance of the U.S. dollar against other currencies, raised new concerns about the country's indebtedness."
Vivendi Flashes V for Victory,"After months on the Wall Street diet, Vivendi shows off its slimmer self."
Inflation shows surprise fall,"The inflation rate unexpectedly fell further below its 2.0 percent government-set target in August as clothing and footwear retailers raised prices by less than a year ago, official data shows."
"Charles Schwab fined \$350,000 in settlement with SEC","NEW YORK, September 14 (New Ratings) - Charles Schwab Corporation (SCH.NYS) has agreed to pay a fine of \$350,000 to settle the enforcement proceedings by federal regulators in connection with the alleged illegal processing of some mutual fund trade "
The Associated Press,"Cincinnati - The Kroger Co., owner of King Soopers and City Markets stores in Colorado and one of the nation #39;s largest operators of supermarkets, reported today that its second-quarter earnings fell almost \$50 million from a year ago, hurt by debt charges "
Airlines join the dots,"SKYTEAM, the airline alliance launched and fostered by Air France, is about to claim three new member carriers and access to 25 per cent of the world #39;s air routes."
"Saudis Pledge 800,000 Barrels Per Day of New Oil","Saudi Arabia sought to regain some control of oil markets Tuesday, promising to make available 800,000 barrels a day of new oil by the end of the month and to keep pumping crude vigorously."
"UPDATE 3-Allied Waste again cuts forecast, shares drop","Allied Waste Industries Inc. (AW.N: Quote, Profile, Research) on Tuesday cut its 2004 earnings forecast for the second time in three months as investment costs rose, sending its stock down more than 9 percent."
"Stocks Flat; Oil, Hurricane Cause Concern", NEW YORK (Reuters) - U.S. stocks struggled to gain ground   on Tuesday as oil prices rose and investors feared economic  fallout from Hurricane Ivan as it moved through the Gulf of  Mexico toward a possible landfall in the United States.
Market does not need more oil: Iranian minister,"VIENNA (AFP) - There is no need to put more oil on the market as it is well-supplied, Iranian Oil Minister Bijan Namdar Zangeneh said here on Tuesday on the eve of an OPEC meeting."
US Airways warns on pensions,"US Airways Group Inc. has warned a bankruptcy court that it is considering whether to freeze or terminate two pension plans covering nearly 25,000 participants, The Wall Street Journal reports."
Tech cos. unveil options-expensing plan,"WASHINGTON -- A group of technology companies Tuesday renewed pressure on accounting rule makers to drop a stock-options expensing rule, unveiling an alternative that they say is easier and less expensive to adopt."
Stocks End Flat; Internet Shares Rise," NEW YORK (Reuters) - U.S. stocks ended little changed  on  Tuesday as Internet companies like eBay Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=EBAY.O target=/stocks/quickinfo/fullquote""&gt;EBAY.O&lt;/A&gt; supported  technology shares, while higher oil prices and worry about fuel  costs kept a lid on overall sentiment."
Kremlin Move Could Open Up Gas Industry,Russian energy giant Gazprom said Tuesday it would acquire state-owned oil company Rosneft in a stock swap expected to ultimately ease restrictions on foreign investment in the world's biggest natural gas producer.
PayPal to fine for vice,"PayPal, the online payments arm of eBay Inc., said Friday it will soon fine people up to \$500 for uses related to gambling, adult content or services, and selling prescription drugs from non-certified sellers."
Yahoo to Buy Musicmatch for  #36;160 Million (Reuters),"Reuters - Yahoo Inc. said on Tuesday it will buy\music software company Musicmatch Inc. for about  #36;160 million\in cash, bolstering Yahoo's offering as online music providers\prepare to go head-to-head in the download market."
Yahoo to Buy Musicmatch for \$160 Million," NEW YORK (Reuters) - Yahoo Inc. said on Tuesday it will buy  music software company Musicmatch Inc. for about \$160 million  in cash, bolstering Yahoo's offering as online music providers  prepare to go head-to-head in the download market."
"Allied Waste cuts forecast, again",Allied Waste Industries Inc. cut its 2004 earnings forecast for the second time in three months Tuesday saying sales growth was coming from lower-margin businesses instead of the more profitable landfill operation.
ABB won #39;t close Guelph transformer plant,"ABB Inc. has reversed a decision to close its transformer plant in Guelph, Ont., saving 300 jobs, the union representing the workers said today."
Oracle 1Q Earnings Rise 16 Percent,Business software giant Oracle Corp. said Tuesday that first-quarter earnings rose 16 percent driven by new database license sales that rose 19 percent.
Markets Cheer Lifting of Gazprom Ring Fence,"The moment investors have been awaiting for years came unexpectedly Tuesday, when President Vladimir Putin backed plans to lift rules banning foreigners from buying local Gazprom shares."
IMF Voices  #39;Some Concern #39; Over Legal Assault on Yukos,The International Monetary Fund expressed concern Tuesday about the impact of the troubles besetting oil major Yukos on Russia #39;s standing as a place to invest.
Oracle Quarterly Net Income Rises 16 Pct, SAN FRANCISCO (Reuters) - Oracle Corp. on Tuesday reported  a 16 percent rise in quarterly net income as the world's second  largest software company benefited from steady demand for its  flagship database software.
Stocks End Barely Higher, NEW YORK (Reuters) - Stocks ended barely higher  on Tuesday  as oil prices rose and investors tried to anticipate the  economic fallout from Hurricane Ivan as it moved through the  Gulf of Mexico toward a possible landfall in the United States.
OPEC Ponders Modest Rise in Oil Quotas," VIENNA (Reuters) - OPEC is pumping near flat out in a bid  to drag down oil prices but will not rubber-stamp all its extra  output with a large increase in formal supply quotas, cartel  ministers and delegates said on Tuesday."
Dollar Weaker; Current Account Gap Weighs," NEW YORK (Reuters) - The dollar was mostly lower on  Tuesday, weighed down by a report showing the U.S. current  account deficit ballooned to a new record in the second  quarter."
Oracle quarterly profit rises on software demand,Oracle (ORCL) Tuesday reported a 16 rise in quarterly net income as the world #39;s second largest software company benefited from steady demand for its flagship database software.
Officials Can #39;t Say Nukes Safe From Terror,"Three years after the Sept. 11 attacks, the Nuclear Regulatory Commission cannot independently verify that every nuclear power plant is taking required safeguards to protect "
Sony To Acquire Hollywood Studio For \$3Bn,"LOS ANGELES, SEPT 14: A consortium led by Sony Corp has agreed in principle to acquire Hollywood studio Metro-Goldwyn-Mayer Inc for nearly \$3 billion."
Oracle shows sales and earnings growth in Q1,"Oracle Corp. reported revenue and earnings growth in its first fiscal quarter, with its revenue from new software licenses rising 7 percent, to US\$563 million."
Senator faults 4 pilots for US Airways bankruptcy,"Following a meeting Tuesday with US Airways Group Inc. president and CEO Bruce Lakefield, US Sen. Rick Santorum laid blame for the airline #39;s second bankruptcy filing on four pilots #39; union representatives from "
"McDonald #39;s Raises Dividend, Shares Climb","McDonald #39;s Corp. (MCD.N: Quote, Profile, Research) on Tuesday raised its annual dividend 38 percent, a move the world #39;s largest restaurant chain said is another sign of its revitalization."
Oracle Quarterly Net Income Rises 16 Pct," SAN FRANCISCO (Reuters) - Oracle Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ORCL.O target=/stocks/quickinfo/fullquote""&gt;ORCL.O&lt;/A&gt; on Tuesday  reported a 16 percent rise in quarterly net income as the  world's second largest software company benefited from steady  demand for its flagship database software."
Argentina loan program delay  #39;unadvisable #39;-bankers,"Argentina #39;s postponement of its International Monetary Fund loan program was  quot;very unadvisable quot; as the country tries to regain access to international credit markets, a global banking group said on Tuesday."
Deutsche executives retreat to ready a new strategy,"FRANKFURT Deutsche Bank, the largest bank in Germany, appears headed for an important executive overhaul aimed at turning problem areas of the business into profit centers over the coming year."
U.S. Treasury Prices End Higher, CHICAGO (Reuters) - U.S. Treasury prices ended higher on  Tuesday after soft August retail sales and a record high  current account deficit kept dealers focused on the possibility  of a slower pace of official interest rate hikes.
Mugabe to seek mining shares,The Zimbabwean state could take a 50 stake in the country's leading mining companies to crack down on what it claims is illegal use of export earnings.
Xilinx Expects Revenue Shortfall,"Xilinx (XLNX:Nasdaq - news - research) took its place late Tuesday in a long, doleful list of chipmakers that have lowered third-quarter expectations."
Federated rebranding stores to Macy #39;s,Ohio-based Federated Departments Stores Inc. is rebranding 184 of its regional department stores to its Macy #39;s name. The change should be completed by January and will give 
Former Broker Admits Cheating Clients," NEW YORK (Reuters) - Todd Eberhard, a former New York  stockbroker and financial television personality, pleaded  guilty on Tuesday to cheating his clients out of millions of  dollars while generating excessive commissions for himself."
Chavez approves phone firm,"With the backing of President Hugo Chavez, Venezuela is setting up a state-owned telecoms firm to challenge dominant foreign owned operators."
UPDATE 1-Celestica cuts 3rd qtr forecasts as orders drop,"Celestica Inc. (CLS.N: Quote, Profile, Research) (CLS.TO: Quote, Profile, Research) cut its third-quarter earnings forecast on Tuesday, triggering a selling spree in its shares."
Allied Waste shares fall as company again lowers outlook,AUSTIN Shares in Allied Waste Industries fell today after the waste hauler cut its 2004 profit outlook for the second time in as many months.
Oprah Car Giveaway Generates Buzz for GM," DETROIT (Reuters) - Just ask ""Anna Karenina"" about Oprah.  The daytime talk show host, whose recommendation put the 19th  century novel on the best-sellers list, has generated a rush of  interest in General Motors Corp.'s &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GM.N target=/stocks/quickinfo/fullquote""&gt;GM.N&lt;/A&gt; new Pontiac G6  mid-sized car, GM officials said on Tuesday."
Broker Pleads Guilty to Cheating Clients,A former well-known New York stockbroker pleaded guilty Tuesday to cheating his clients out of millions of dollars and generating fraudulent commissions for himself.
Update 1: Bond Prices Edge Higher at Close of Day,"Bond prices edged higher Tuesday, following release of a report showing a dip in retail sales last month. The price of the benchmark 10-year Treasury note rose 5/32 point, or \$1."
LAZARUS MACY #39;S,PARENT COMPANY FEDERATED DEPARTMENT STORES PLANS TO CHANGE ALL OF THEIR REGIONAL DEPARTMENT STORE CHAINS TO THE MACY #39;S NAME IN JANUARY.
How Much Hollywood For Comcast?,"In a first-of-its kind deal, Comcast (Quote, Chart) has struck a broad content distribution pact with Sony Pictures that includes plans to expand its video-on-demand (define) menu."
Celestica lowers Q3 guidance; shares slump after hours,"TORONTO - Celestica late Tuesday came out with a profit and revenue warning for its third quarter, saying some of its biggest customers were reducing orders for the company #39;s electronics equipment."
"Alitalia, Pilots Agree to New Contract, Reduce Pay (Update5)","Alitalia SpA, Italy #39;s largest airline, reached an agreement with pilots to increase work hours and reduce pay ahead of tomorrow #39;s deadline set by Chief Executive Giancarlo Cimoli, union officials said."
US lawmakers urge SEC action on credit raters,"Lawmakers on Tuesday urged the US Securities and Exchange Commission to move to reform the oversight of credit-rating agencies, with one suggesting its power "
Job Woes Plague High Tech,"Researchers say the industry bled 403,000 jobs between March 2001 and April 2004, and the high-tech market continues to shrink."
Oracle sales rise on database demand,"com September 14, 2004, 2:26 PM PT. This fourth priority #39;s main focus has been improving or obtaining CRM and ERP software for the past year and a half."
"Microsoft, Polycom Team on Conferencing","Microsoft (Quote, Chart) and Polycom have formed a multi-year joint venture that will add Polycom #39;s conferencing functionality to Microsoft Office Live Meeting."
Schwab pays fine to settle allegations of improper trades,"CHICAGO _ Discount brokerage Charles Schwab Corp. on Tuesday settled regulators #39; allegations that it allowed scores of improper mutual fund trades, agreeing to pay a \$350,000 fine."
Homeowners told house prices could fall by 30,Britain #39;s homeowners were warned by a senior member of the Bank of England #39;s interest-rate committee yesterday to brace themselves for the  quot;significant probability quot; that house prices will fall by up to 30.
Oracle sees profits surge 16,"Oracle, the world #39;s second largest software producer, has seen first quarter profits surge 16 on the back of strong sales of database products."
Asset Sales Seen of Limited Use to US Air," CHICAGO (Reuters) - US Airways Group Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=UAIR.O target=/stocks/quickinfo/fullquote""&gt;UAIR.O&lt;/A&gt;,  desperately trying to slash costs in bankruptcy to ensure  survival, may not be able to find much relief through a  potential sale of its assets, analysts said on Tuesday."
Tokyo Stocks Seen Steady After Gains, TOKYO (Reuters) - Japanese stocks are expected to move  little on Wednesday following lackluster trading in the United  States and as investors take a breather after the Tokyo  market's recent gains.
"Lockheed, GD Win U.S. Army Contract"," WASHINGTON (Reuters) - The U.S. Army on Tuesday awarded  General Dynamics Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GD.N target=/stocks/quickinfo/fullquote""&gt;GD.N&lt;/A&gt; the lead role in developing a new  warfighter communications system, with Lockheed Martin Corp.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=LMT.N. target=/stocks/quickinfo/fullquote""&gt;LMT.N.&lt;/A&gt; to get an equal share of the work, which GD said was  worth \$7 billion through 2018."
Tokyo Stocks Open Lower on Profit Grab, TOKYO (Reuters) - Tokyo's Nikkei stock average opened down  0.15 percent on Wednesday as investors took a breather from the  market's recent rises and sold shares of gainers such as Sharp  Corp.
OPEC plans to discuss raising its output ceiling,VIENNA OPEC oil ministers are meeting on Wednesday in Vienna to consider changes to the group #39;s formal output ceiling even as crude prices remain high despite the cartel #39;s efforts to lower them.
Former Enron pension plan participants to finally receive benefits,"Over 17,000 former Enron or Enron-affiliated workers, who had money tied to four pension plans when the company collapsed in 2001 amidst revelations of accounting fraud, will receive their benefit payments."
Hurricane onslaught may blow hole in US economy,"As hurricane Ivan roared northwards yesterday through the Gulf of Mexico towards landfall in the US as early as this evening, Wall Street analysts warned that the damage could extend beyond buildings into the wider economy."
Oracle Income Grows on Database Software Sales,"Oracle on Tuesday announced a 16 percent increase in its first-quarter net income, attributing the gain to demand for its database software, Oracle Database 10g."
Citigroup apology on bond deals,LONDON Citigroup told employees on Tuesday that it regretted executing a recent E11 billion bond trade that angered its peers in Europe and sparked an investigation by Britain #39;s market regulator.
Oracle #39;s earnings top expectations by penny,"SAN FRANCISCO Business software maker Oracle #39;s quarterly earnings barely exceeded analyst expectations, despite sluggish sales."
Thousands in asbestos rally,THOUSANDS of construction workers and victims of asbestos were today making their way through central Sydney to rally outside a general meeting of James Hardie shareholders.
Russian stocks grow on PM #39;s proposals,"RBC, 14.09.2004, Moscow 16:47:50.News about Russian President Vladimir Putin #39;s approval of Prime Minister Mikhail Fradkov #39;s proposal to exchange a stake in Gazprom for Rosneft assets spurred an upward trend on the stock market, traders say."
